OBJECTID,ID_2,NO_APTA,APTITUD_BAJA,APTITUD_MEDIA,APTITUD_ALTA,EXCLUSION_LEGAL
160,166,28496.60876,9498.869588,9498.869588,0,0
161,167,33246.04356,0,14248.30438,0,0
162,168,14248.30438,0,18997.73918,9498.869588,0
163,169,104487.5655,0,4749.434794,9498.869588,0
164,170,52243.78274,0,4749.434794,0,9498.869588
165,171,109237.0003,0,18997.73918,9498.869588,0
166,172,80740.3915,0,4749.434794,0,0
167,173,14248.30438,0,23747.17397,0,0
168,174,18997.73918,0,0,0,0
169,175,14248.30438,0,9498.869588,14248.30438,0
170,176,18997.73918,0,28496.60876,0,0
171,177,33246.04356,9498.869588,0,0,0
172,178,61742.65232,0,0,0,0
173,179,180478.5222,18997.73918,0,0,0
174,180,289715.5224,18997.73918,4749.434794,0,0
175,181,132984.1742,23747.17397,0,0,0
176,182,33246.04356,0,4749.434794,0,0
177,183,4749.434794,0,14248.30438,0,0
178,184,33246.04356,0,0,0,0
179,185,33246.04356,0,18997.73918,0,0
180,186,18997.73918,4749.434794,28496.60876,0,0
181,187,28496.60876,4749.434794,9498.869588,0,0
182,188,85489.82629,0,9498.869588,9498.869588,0
183,189,14248.30438,0,4749.434794,0,0
184,190,246970.6093,4749.434794,9498.869588,0,0
185,191,4749.434794,0,9498.869588,0,0
186,192,71241.52191,14248.30438,28496.60876,42744.91315,0
187,193,9498.869588,0,4749.434794,4749.434794,0
188,194,9498.869588,0,0,0,0
189,195,18997.73918,0,0,0,0
190,196,0,0,14248.30438,4749.434794,0
191,197,4749.434794,4749.434794,4749.434794,0,0
192,198,14248.30438,0,9498.869588,4749.434794,0
193,199,4749.434794,0,0,0,0
194,200,42744.91315,0,0,0,42744.91315
195,201,14248.30438,0,0,0,4749.434794
196,202,4749.434794,0,0,0,14248.30438
197,204,14248.30438,0,0,0,0
198,205,23747.17397,0,0,0,0
199,206,4749.434794,0,0,0,0
200,207,4749.434794,0,0,0,0
201,208,4749.434794,0,0,0,0
202,210,18997.73918,0,0,0,0
203,211,9498.869588,0,0,0,0
204,212,37995.47835,0,0,0,0
205,213,0,0,0,0,4749.434794
206,215,18997.73918,0,0,0,0
207,216,9498.869588,0,0,0,0
208,217,14248.30438,0,0,0,66492.08712
209,218,14248.30438,0,0,0,42744.91315
210,219,9498.869588,0,0,0,0
211,220,4749.434794,0,0,0,0
212,221,9498.869588,0,0,0,0
213,222,4749.434794,0,0,0,4749.434794
214,223,14248.30438,0,0,0,0
215,224,4749.434794,0,0,0,0
216,225,9498.869588,0,0,0,0
217,226,4749.434794,0,0,0,4749.434794
218,227,104487.5655,0,0,0,33246.04356
219,228,4749.434794,0,0,0,0
220,229,9498.869588,0,0,0,9498.869588
221,230,0,0,0,0,14248.30438
222,231,4749.434794,0,0,0,0
